_id,appid,name,concurrent_in_game,peak_in_game,last_modified,rank,news_count,__v,createdAt,updatedAt
6905f54f0637692f1e5b0af7,730,Counter-Strike 2,1207867,1504683,1749053861.0,1,1682,0,2025-11-01T11:55:59.113000,2025-11-01T12:02:44.583000
6905f54f0637692f1e5b0af8,570,Dota 2,649698,764072,1757000652.0,2,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0af9,578080,Unknown Game (578080),453871,614347,,3,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0afa,2807960,Unknown Game (2807960),302659,437245,,4,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0afb,3167020,Unknown Game (3167020),212561,249687,,5,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0afc,2507950,Unknown Game (2507950),154968,192398,,6,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0afd,1808500,Unknown Game (1808500),150799,253486,,7,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0afe,431960,Unknown Game (431960),132825,139897,,8,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0aff,238960,Path of Exile,124142,185970,1761681686.0,9,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b00,252490,Rust,121531,138021,1761667247.0,10,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b01,1172470,Unknown Game (1172470),111875,157684,,11,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b02,3419430,Unknown Game (3419430),109653,116419,,12,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b03,2923300,Unknown Game (2923300),102378,108360,,13,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b04,271590,Unknown Game (271590),92325,94393,,14,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b05,1203220,Unknown Game (1203220),90579,122980,,15,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b06,3241660,Unknown Game (3241660),86269,121116,,16,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b07,236390,War Thunder,84017,90711,1761756693.0,17,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b08,413150,Stardew Valley,75444,91757,1754692865.0,18,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b09,230410,Warframe,66160,74073,1760556657.0,19,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b0a,1158310,Unknown Game (1158310),62710,65837,,20,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b0b,3240220,Unknown Game (3240220),56677,64988,,21,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b0c,381210,Dead by Daylight,55604,70138,1760636583.0,22,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b0d,322330,Don't Starve Together,55388,65225,1761581051.0,23,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b0e,3405690,Unknown Game (3405690),51949,61951,,24,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b0f,440,Team Fortress 2,51075,60442,1757348372.0,25,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b10,394360,Hearts of Iron IV,48598,49536,1761815783.0,26,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b11,1366800,Unknown Game (1366800),41570,46206,,27,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b12,1973530,Unknown Game (1973530),41087,48845,,28,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b13,1086940,Unknown Game (1086940),40630,49897,,29,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b14,1623730,Unknown Game (1623730),40564,42858,,30,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b15,1174180,Unknown Game (1174180),40439,43052,,31,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b16,1326470,Unknown Game (1326470),40043,51607,,32,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b17,438100,VRChat,39825,56276,1761942950.0,33,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b18,289070,Sid Meier’s Civilization® VI,38716,40084,1740607040.0,34,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b19,227300,Euro Truck Simulator 2,38273,42153,1760622979.0,35,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b1a,2767030,Unknown Game (2767030),38120,72042,,36,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b1b,221100,DayZ,38070,48345,1757675024.0,37,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b1c,1030300,Unknown Game (1030300),37379,42655,,38,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b1d,1281930,Unknown Game (1281930),34269,37180,,39,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b1e,3405340,Unknown Game (3405340),32705,44881,,40,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b1f,2246340,Unknown Game (2246340),31698,40492,,41,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b20,2300320,Unknown Game (2300320),31632,36247,,42,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b21,1091500,Unknown Game (1091500),31010,32408,,43,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b22,359550,Tom Clancy's Rainbow Six® Siege X,30458,40600,1761844710.0,44,0,0,2025-11-01T11:55:59.115000,2025-11-01T11:55:59.115000
6905f54f0637692f1e5b0b23,367520,Hollow Knight,28984,32470,1695270428.0,45,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b24,261550,Mount & Blade II: Bannerlord,28901,29783,1751538727.0,46,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b25,1938090,Unknown Game (1938090),28721,43021,,47,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b26,2252570,Unknown Game (2252570),28673,29952,,48,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b27,1364780,Unknown Game (1364780),28542,34738,,49,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b28,2073620,Unknown Game (2073620),28400,35865,,50,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b29,2584990,Unknown Game (2584990),28023,35837,,51,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b2a,294100,RimWorld,27481,27784,1752247312.0,52,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b2b,552990,Unknown Game (552990),27480,37864,,53,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b2c,550,Left 4 Dead 2,27380,38560,1745368562.0,54,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b2d,105600,Terraria,27165,31498,1731252354.0,55,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b2e,218620,PAYDAY 2,26792,28119,1758658011.0,56,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b2f,322170,Geometry Dash,26765,35945,1703006148.0,57,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b30,2139460,Unknown Game (2139460),26481,28013,,58,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b31,251570,7 Days to Die,25683,28147,1756397337.0,59,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b32,1245620,Unknown Game (1245620),24652,27316,,60,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b33,108600,Project Zomboid,24359,27769,1739309087.0,61,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b34,2622380,Unknown Game (2622380),24272,32849,,62,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b35,275850,No Man's Sky,23937,26014,1761138171.0,63,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b36,1142710,Unknown Game (1142710),23698,24212,,64,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b37,3949040,Unknown Game (3949040),23623,40838,,65,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b38,2357570,Unknown Game (2357570),23610,32493,,66,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b39,346110,ARK: Survival Evolved,23577,24895,1752704051.0,67,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b3a,1222670,Unknown Game (1222670),23217,25345,,68,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b3b,1905180,Unknown Game (1905180),22744,25700,,69,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b3c,553850,Unknown Game (553850),22641,30352,,70,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b3d,2399830,Unknown Game (2399830),20994,23091,,71,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b3e,594650,Unknown Game (594650),20466,26636,,72,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b3f,1145350,Unknown Game (1145350),20443,24276,,73,0,0,2025-11-01T11:55:59.116000,2025-11-01T11:55:59.116000
6905f54f0637692f1e5b0b40,892970,Unknown Game (892970),20303,28025,,74,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b41,4000,Garry's Mod,20207,25093,1756222843.0,75,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b42,284160,BeamNG.drive,19882,23430,1760983471.0,76,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b43,3037410,Unknown Game (3037410),19860,19864,,77,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b44,2358720,Unknown Game (2358720),19692,21766,,78,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b45,813780,Unknown Game (813780),19323,21378,,79,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b46,2694490,Unknown Game (2694490),19111,21479,,80,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b47,489830,The Elder Scrolls V: Skyrim Special Edition,18896,22469,1753715778.0,81,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b48,250900,The Binding of Isaac: Rebirth,18542,20833,1731977365.0,82,0,0,2025-11-01T11:55:59.118000,2025-11-01T11:55:59.118000
6905f54f0637692f1e5b0b49,1049590,Unknown Game (1049590),18480,22303,,83,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b4a,427520,Factorio,18404,20221,1730307306.0,84,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b4b,3681810,Unknown Game (3681810),17912,26482,,85,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b4c,2352620,Unknown Game (2352620),17607,27453,,86,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b4d,2062430,Unknown Game (2062430),17595,20097,,87,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b4e,1943950,Unknown Game (1943950),17492,30147,,88,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b4f,526870,Unknown Game (526870),17106,19731,,89,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b50,1422450,Unknown Game (1422450),17011,28086,,90,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b51,582010,Unknown Game (582010),16972,21554,,91,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b52,766570,Unknown Game (766570),16812,18256,,92,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b53,629520,Unknown Game (629520),16807,21688,,93,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b54,3472040,Unknown Game (3472040),16718,19978,,94,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b55,582660,Unknown Game (582660),16424,17958,,95,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b56,1285190,Unknown Game (1285190),16332,19940,,96,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b57,513710,Unknown Game (513710),16327,17854,,97,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b58,646570,Unknown Game (646570),16289,19031,,98,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b59,2669320,Unknown Game (2669320),16136,23706,,99,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
6905f54f0637692f1e5b0b5a,990080,Unknown Game (990080),15589,16523,,100,0,0,2025-11-01T11:55:59.120000,2025-11-01T11:55:59.120000
