API_Type,Trial,Response_Time,Response_Size
REST,1,0.4822036998812109,5129
GraphQL,1,0.5800445000641048,1097
REST,2,0.2759811000432819,5129
GraphQL,2,0.5914018000476062,1097
REST,3,0.2859555999748409,5129
GraphQL,3,0.49965110002085567,1097
REST,4,0.27780049992725253,5129
GraphQL,4,0.5954911999870092,1097
REST,5,0.2703873999416828,5129
GraphQL,5,0.49587320000864565,1097
REST,6,0.2782777000684291,5129
GraphQL,6,0.6251283998135477,1097
REST,7,0.3098986998666078,5129
GraphQL,7,0.49923560000024736,1097
REST,8,0.3108996001537889,5129
GraphQL,8,0.5443541000131518,1097
REST,9,0.5230139000341296,5129
GraphQL,9,0.5667864000424743,1097
REST,10,0.2828845998737961,5129
GraphQL,10,0.48898379993624985,1097
REST,11,0.3031067999545485,5129
GraphQL,11,0.7641443000175059,1097
REST,12,0.2727097999304533,5129
GraphQL,12,0.4766812000889331,1097
REST,13,0.27111379988491535,5129
GraphQL,13,0.4414077999535948,1097
REST,14,0.27202889998443425,5129
GraphQL,14,0.512716299854219,1097
REST,15,0.2622018000110984,5129
GraphQL,15,0.5746212000958622,1097
REST,16,0.26934770005755126,5129
GraphQL,16,0.5955757999327034,1097
REST,17,0.2925556998234242,5129
GraphQL,17,0.5541447000578046,1097
REST,18,0.29275819985195994,5129
GraphQL,18,0.8187498000916094,1097
REST,19,0.3238596001174301,5129
GraphQL,19,0.5126457998994738,1097
REST,20,0.26701579988002777,5129
GraphQL,20,0.5574372999835759,1097
REST,21,0.2849171000998467,5129
GraphQL,21,0.5654259000439197,1097
REST,22,0.2740098999347538,5129
GraphQL,22,0.5442160000093281,1097
REST,23,0.259959600167349,5129
GraphQL,23,0.6072000998537987,1097
REST,24,0.28466889983974397,5129
GraphQL,24,0.519380799960345,1097
REST,25,0.27080299984663725,5129
GraphQL,25,0.48527350020594895,1097
REST,26,0.2933359001763165,5129
GraphQL,26,0.5102154000196606,1097
REST,27,0.2898158000316471,5129
GraphQL,27,0.4971033001784235,1097
REST,28,0.2867951998487115,5129
GraphQL,28,0.5113187998067588,1097
REST,29,0.27516219997778535,5129
GraphQL,29,0.45165549986995757,1097
REST,30,0.2566615999676287,5129
GraphQL,30,0.5489398001227528,1097
